index,text,label_text,label_code,tweet_id
1,"Awesome, so you agree that a biological male deserves a voice in the abortion conversation?",Neutral to abortion rights/restrictions,0,
2,"These are the opportunistic creatures produced when will not allow birth control education or practice and has zero problem letting sperm spreaders call the rules (and the muscles) on women. Instant ""Gratificationites."" ",Neutral to abortion rights/restrictions,0,
3,RT Every young person needs to know about their sexual reproductive health and rights to enable them make informed life choices. Great thanks to our dear partners and everyone that ensures that these young people access this information and service. #SafeLoveUG #10AndBold ,Neutral to abortion rights/restrictions,0,
4,"I mean other than their racist, anti-vax rhetoric, attack on women's reproductive rights, voters' rights, anti LGBTQ rights, etc, did they do ANYTHING to benefit the American people? (3)",Neutral to abortion rights/restrictions,0,
5,It seems you missed a key sentence. This isnt about abortion but about control. @SteveSchmidtSES,Neutral to abortion rights/restrictions,0,
6,RT Anti-abortion activists gather in Paris for new round of 'March for Life' LIVE: https://t.co/mnEemz8mDK #Paris #antiabortion #MarchForLife ,review with JunMing,*,
7,"RT Members of the Wall of Vets take up the rear, creating a barrier between the Abortion-rights protesters and a group of Proud Boys during the second day of protests in Atlanta, Ga. For ",Neutral to abortion rights/restrictions,0,
8,"I am not confusing issues. I am pro-choice. Even cadavers have the right not to share their organs. I have a right to my own body. Incidentally I almost died for my baby and chose to let her live at great cost (she died anyways), but that was MY choice, & that is the whole point.",Strongly believe abortion should be legal,2,
9,"Most people that have any knowledge of science or medicine at this point are thinking.... ""most of them will die before they hit 18....stupid is as stupid does... survival of the fittest...I'm making bank baby!!..This is so much easier than abortion!!""",Neutral to abortion rights/restrictions,0,
10,"RT Enemy of The People. And as American hispanics, we support Conservative Christian Values & do not support the stol",Neutral to abortion rights/restrictions,0,
11,Worrying too much with what people do or who people are leads to atrocities even worse. (Soviet communism & European Holocaust). But you did make a great pro-life case with that second sentence. So thats pretty rad.,Strongly believe abortion should be illegal,-2,
12,"Vaush was clearly referencing laws to ban abortion and contraception (like in Mississippi), both of which he's talked about recently. Roe being overturned isn't forcing birth, the laws that states will pass are. That's a great attempt though, you almost had something that time.",review with JunMing,*,
13,"RT Today, nearly 450 Florida clinicians from across the state, spanning the spectrum of care, sent an open letter to state lawmakers with the simple message - abortion bans like #SB146 and #HB5 harm the communities we care for. ",Strongly believe abortion should be legal,2,
14,Birth control is on every corner. Quit acting like its the fifties.,Strongly believe abortion should be legal,2,
15,"Madam contraceptive pills are not drugs you can self-medicate on your own, go and see a doctor.",Neutral to abortion rights/restrictions,0,
16,"Giving a baby up for adoption is a major undertaking with lifelong consequences. To the extent there's guilt in abortion and guilt in adoption, to me it's the height of arrogance to enact laws forcing women to endure one form of guilt over another.",Strongly believe abortion should be legal,2,
17,"That mumbo jumbo is part of the current culture, not the party. Republicans spend more time on these issues as a whole anyway. They wasted a billion dollars on their failed war against gay marriage. Now it's the fake CRT, ""don't say gay"", trans athletes, abortion.",Neutral to abortion rights/restrictions,0,
18,What gave it away?! I hope yall do know Im a strong support of Roe V. Wade! ,Strongly believe abortion should be legal,2,
19,"RT Lord, give me the confidence of an overly paid, mediocre, cis, white, liberal man who has a take about abortion rights. ",Neutral to abortion rights/restrictions,0,
20,RT A Tale of Two States: Colorado and Oklahoma Pass Polar Opposite Abortion Laws and Reveal the Nations Divide on the Issue #TheBriefing ,Neutral to abortion rights/restrictions,0,
21,RT Lets ban abortion in every state so women will go on sex strikes which will lead to them not wanting abortions,Strongly believe abortion should be illegal,-2,
22,"RT Liberals Condemn Tragic Shooting as Child Sacrifice, But Support the Child Sacrifice of Abortion ",Strongly believe abortion should be illegal,-2,
23,RT A Pro-Choice Hacking Team Defaced the Texas GOP Website. So We DMd Them via @RollingStone,Neutral to abortion rights/restrictions,0,
24,Yeah just procreate more kids into poverty so they have miserable lives so you can squeeze cheap labor out of them when they're adults. Shut about abortion or adopt a kid,Slightly believe abortion should be illegal,-1,
25,Agreed. This is the blue print of the anti-abortion movement. Both anti-choice and anti-trans activism is deeply patriarchal in its insistence on controlling womens bodies.,Strongly believe abortion should be legal,2,
26,"RT Thousands took the streets on Saturday for the annual Womens March, just days before the new SCOTUS term was set to begin.",Neutral to abortion rights/restrictions,0,
27,Ton of other ppl were openly supportive that theyd call law enforcement if the so much as thought a woman was going to get an abortion too,Neutral to abortion rights/restrictions,0,
